Transaction_ID,Date,Customer_ID,Product_ID,Quantity,Discount
1,2022-10-21,82,9,3,0.11878499868594537
2,2023-04-20,94,33,2,0.018669079072003835
3,2023-03-20,96,49,3,0.04601132885641393
4,2023-07-26,78,46,3,0.06440957947333635
5,2024-09-13,13,5,3,0.14272544447067562
6,2024-02-28,78,46,3,0.02240988293865407
7,2023-06-26,7,9,2,0.19404095176094838
8,2022-06-09,12,1,1,0.11594226181985626
9,2023-11-15,99,43,3,0.0063654518728392786
10,2023-05-27,45,34,1,0.04090400385368767
11,2023-01-15,18,17,2,0.16838441195477097
12,2022-07-31,98,20,2,0.09530775786539061
13,2023-01-13,20,39,2,0.16995206696867304
14,2023-11-03,66,44,2,0.026378265958110617
15,2024-01-20,91,16,2,0.09315603871983343
16,2022-12-02,80,21,2,0.03523140727141845
17,2024-06-13,22,8,3,0.07046124107531267
18,2022-02-19,69,14,3,0.07425274764320265
19,2024-09-01,5,42,2,0.07003503760738393
20,2022-09-20,69,32,1,0.1381979916322971
21,2023-12-10,7,2,3,0.12233886879790284
22,2023-11-10,71,32,3,0.17479486066181138
23,2023-04-20,71,28,2,0.07285553198630328
24,2022-06-17,20,40,2,0.06833858315619663
25,2024-02-14,58,41,1,0.12599000250642475
26,2023-10-04,91,40,3,0.1502740327078273
27,2022-04-18,24,6,2,0.1736669373253471
28,2022-04-16,70,8,2,0.11286350302370059
29,2024-07-21,43,40,2,0.05978497418025646
30,2024-03-24,85,49,2,0.1615483691669428
31,2024-06-24,11,23,2,0.16815268901900987
32,2024-02-09,88,39,2,0.04592843774506559
33,2024-07-12,40,30,2,0.1896419911604817
34,2023-01-16,13,35,2,0.13426209053696778
35,2022-12-04,54,32,2,0.18703560830032445
36,2024-05-05,8,8,2,0.09571175628299977
37,2023-06-24,85,25,2,0.12630472662694214
38,2023-01-31,95,41,3,0.10583014661666008
39,2023-11-20,44,38,2,0.19558840992951387
40,2022-03-05,69,14,1,0.18359660991956964
41,2023-11-17,86,18,1,0.1637196368904703
42,2024-09-24,72,29,3,0.11228385417499205
43,2022-02-14,39,17,3,0.0378635171843531
44,2023-11-25,62,3,1,0.16946051879848864
45,2024-01-22,31,40,1,0.07733562755945454
46,2023-01-17,89,7,3,0.14868980848139213
47,2024-03-19,63,32,2,0.028015826261445765
48,2023-09-06,11,14,3,0.08310907630035372
49,2023-03-13,88,3,2,0.16980244991615792
50,2022-04-21,41,32,1,0.1799945036492673
51,2023-06-20,52,25,2,0.1478190093271786
52,2024-09-26,65,43,3,0.10726125668997187
53,2023-06-09,9,46,2,0.07288358323672531
54,2022-03-19,3,28,2,0.18849028206542034
55,2022-06-02,40,39,2,0.1560391819611311
56,2024-06-12,24,22,1,0.1860652699575975
57,2024-08-22,11,2,1,0.11093450431899915
58,2023-12-13,14,15,1,0.14674589849956052
59,2023-07-11,93,11,3,0.04955085958591461
60,2023-09-14,98,6,1,0.09155601538842928
61,2023-07-08,91,34,3,0.06982957584632443
62,2022-08-02,88,13,1,0.14349165688023974
63,2024-02-24,10,2,1,0.17288571133465758
64,2023-08-25,13,41,1,0.09287097803658623
65,2024-05-16,36,27,3,0.15330974882817106
66,2022-01-11,17,11,3,0.16779802559083518
67,2022-04-04,88,32,2,0.17852611878201513
68,2024-09-25,93,6,3,0.045592701856503194
69,2023-05-29,15,11,2,0.15838272006959964
70,2024-09-19,99,37,1,0.13970125130530558
71,2023-10-16,23,45,1,0.1992998273290021
72,2022-04-09,42,29,2,0.13962143298776206
