Product_ID,Product_Name,Category,Unit_Price
1,Prod_1,Household,464.61
2,Prod_2,Electronics,494.74
3,Prod_3,Household,371.39
4,Prod_4,Household,524.98
5,Prod_5,Electronics,800.74
6,Prod_6,Electronics,795.19
7,Prod_7,Electronics,192.27
8,Prod_8,Household,430.39
9,Prod_9,Clothing,542.73
10,Prod_10,Clothing,469.31
11,Prod_11,Household,238.13
12,Prod_12,Clothing,273.73
13,Prod_13,Household,434.92
14,Prod_14,Clothing,668.48
15,Prod_15,Clothing,696.07
16,Prod_16,Household,586.68
17,Prod_17,Electronics,575.19
18,Prod_18,Household,979.51
19,Prod_19,Household,987.68
20,Prod_20,Electronics,674.24
21,Prod_21,Household,677.04
22,Prod_22,Electronics,437.68
23,Prod_23,Clothing,340.72
24,Prod_24,Clothing,806.08
25,Prod_25,Clothing,244.26
26,Prod_26,Clothing,124.56
27,Prod_27,Clothing,812.73
28,Prod_28,Electronics,878.92
29,Prod_29,Electronics,568.55
30,Prod_30,Clothing,47.84
31,Prod_31,Clothing,764.72
32,Prod_32,Electronics,109.97
33,Prod_33,Household,389.48
34,Prod_34,Household,131.83
35,Prod_35,Household,602.28
36,Prod_36,Household,774.54
37,Prod_37,Clothing,20.2
38,Prod_38,Clothing,755.73
39,Prod_39,Electronics,319.12
40,Prod_40,Clothing,592.72
41,Prod_41,Electronics,256.52
42,Prod_42,Household,616.38
43,Prod_43,Clothing,716.02
44,Prod_44,Household,218.26
45,Prod_45,Clothing,139.57
46,Prod_46,Electronics,463.88
47,Prod_47,Household,872.04
48,Prod_48,Household,792.04
49,Prod_49,Clothing,870.05
50,Prod_50,Clothing,631.74
